iter	Logloss
0	0.6076028193
1	0.5657225205
2	0.5351601679
3	0.4879695828
4	0.4629554625
5	0.4420001609
6	0.430017659
7	0.4165894032
8	0.4079366702
9	0.3993367241
10	0.3913101216
11	0.3841387529
12	0.3795250727
13	0.3743046091
14	0.3702521762
15	0.3671571964
16	0.364736971
17	0.362836034
18	0.3598580075
19	0.3557981462
20	0.3538983365
21	0.3502800119
22	0.3486127342
23	0.3450885173
24	0.343734202
25	0.3421567054
26	0.3376638425
27	0.3341025194
28	0.3328586905
29	0.3322560537
30	0.3288506562
31	0.3282339059
32	0.3266012964
33	0.3258719707
34	0.325069476
35	0.3243355202
36	0.3234517532
37	0.3223920158
38	0.3215720624
39	0.3209833823
40	0.3193608808
41	0.3187189996
42	0.3168426409
43	0.3164379395
44	0.3156577072
45	0.3150223323
46	0.3140038714
47	0.3130202269
48	0.3123504798
49	0.3119541768
50	0.3107884356
51	0.3100827386
52	0.3090015199
53	0.307626789
54	0.3071406789
55	0.3068353902
56	0.3063470372
57	0.306061578
58	0.3046326769
59	0.3039554273
60	0.3037241207
61	0.3031640218
62	0.3028440586
63	0.3020430807
64	0.3017472641
65	0.3001165804
66	0.2995356664
67	0.2993494418
68	0.2991145128
69	0.2986741955
70	0.2981105541
71	0.2978022649
72	0.2973423622
73	0.2968899602
74	0.2964609367
75	0.2962312363
76	0.2957366422
77	0.2955576707
78	0.2955344634
79	0.2951286613
80	0.2947844794
81	0.2943406561
82	0.2940093059
83	0.2932620863
84	0.2925158875
85	0.2923272877
86	0.2920132192
87	0.2914263669
88	0.2909685383
89	0.2906551033
90	0.2901188997
91	0.289620832
92	0.2889307105
93	0.2867872159
94	0.2858159261
95	0.2855361862
96	0.2848659758
97	0.2840885386
98	0.2836492461
99	0.2832319899
100	0.2826696748
101	0.2823788659
102	0.2819004266
103	0.2813834882
104	0.280825993
105	0.2799599292
106	0.2795511505
107	0.2789772644
108	0.2787135098
109	0.2777556851
110	0.276970414
111	0.2752413956
112	0.2749638245
113	0.2740119556
114	0.2736485233
115	0.2732672702
116	0.2725082752
117	0.2720544102
118	0.2716244158
119	0.2706376508
120	0.2702094307
121	0.269738362
122	0.2692599782
123	0.268685131
124	0.2681171583
125	0.267684305
126	0.2670350422
127	0.2661724772
128	0.2653911195
